# http://corpus.zhonghuayuwen.org/resources.aspx
秘,0.0122
俗,0.0122
倾,0.0122
哭,0.0122
禁,0.0122
零,0.0122
触,0.0122
巧,0.0121
圈,0.0121
努,0.0121
喝,0.0121
彻,0.0121
晶,0.0121
丁,0.0121
操,0.012
奴,0.012
宜,0.012
菌,0.012
叔,0.012
桥,0.0119
仿,0.0119
默,0.0119
航,0.0119
谷,0.0119
泪,0.0119
予,0.0118
挂,0.0118
壮,0.0117
纷,0.0117
粒,0.0117
燃,0.0117
诸,0.0117
削,0.0116
苗,0.0116
婆,0.0116
付,0.0116
迷,0.0116
馆,0.0115
灰,0.0115
鸡,0.0114
岸,0.0114
寒,0.0114
泥,0.0114
梅,0.0114
残,0.0114
税,0.0114
虎,0.0114
庆,0.0113
抱,0.0113
鸟,0.0113
拍,0.0113
墙,0.0113
缓,0.0113
横,0.0113
尾,0.0113
督,0.0113
莫,0.0112
械,0.0112
尖,0.0112
旅,0.0112
倍,0.0112
措,0.0111
剥,0.0111
遭,0.0111
懂,0.0111
粗,0.0111
奏,0.011
润,0.011
侧,0.011
辩,0.011
茶,0.011
鬼,0.011
梦,0.0109
贯,0.0109
篇,0.0109
妻,0.0109
宽,0.0109
腿,0.0109
刀,0.0109
桌,0.0109
浓,0.0108
跃,0.0108
蹈,0.0107
洗,0.0107
卷,0.0107
欲,0.0107
袋,0.0107
赏,0.0107
悲,0.0107
劲,0.0107
鲁,0.0106
赞,0.0106
氏,0.0106
汇,0.0106
迹,0.0106
竞,0.0106
醒,0.0105
裂,0.0105
闭,0.0105
森,0.0105
腰,0.0105
磁,0.0104
湿,0.0104
聚,0.0104
兄,0.0104
徐,0.0103
炼,0.0103
订,0.0102
川,0.0102
吹,0.0102
蒙,0.0102
胸,0.0102
召,0.0102
伴,0.0102
徒,0.0102
幅,0.0102
疗,0.0101
淡,0.0101
奖,0.0101
仪,0.0101
珠,0.0101
绪,0.0101
蒋,0.0101
猪,0.01
剂,0.01
访,0.01
狗,0.01
摸,0.0099
趋,0.0099
宋,0.0099
伏,0.0099
棉,0.0099
恐,0.0099
羊,0.0098
碳,0.0098
隔,0.0098
网,0.0098
猛,0.0098
爬,0.0098
缘,0.0097
麦,0.0097
库,0.0097
津,0.0097
监,0.0097
薄,0.0097
净,0.0096
旋,0.0096
贫,0.0096
罢,0.0096
穷,0.0096
乏,0.0096
挑,0.0096
废,0.0096
汗,0.0096
耗,0.0096
尊,0.0095
牌,0.0095
抢,0.0095
软,0.0095
隶,0.0095
宇,0.0094
圣,0.0094
港,0.0094
欣,0.0094
塞,0.0094
刑,0.0094
博,0.0094
揭,0.0093
垂,0.0093
姓,0.0093
捕,0.0093
荒,0.0093
诚,0.0093
炮,0.0093
呈,0.0093
辑,0.0093
卡,0.0092
伦,0.0092
蓝,0.0092
抬,0.0092
宫,0.0092
敬,0.0092
版,0.0092
忍,0.0091
颜,0.0091
竹,0.0091
碰,0.0091
启,0.0091
票,0.0091
隐,0.0091
抵,0.009
脉,0.009
浮,0.009
煤,0.009
剩,0.009
珍,0.009
奔,0.009
堆,0.009
扎,0.009
谋,0.009
貌,0.009
脏,0.0089
逃,0.0089
洪,0.0089
旗,0.0089
潜,0.0089
鼻,0.0089
忆,0.0089
湾,0.0088
绩,0.0088
恰,0.0088
坦,0.0088
怒,0.0088
震,0.0088
豆,0.0088
插,0.0087
戴,0.0087
涉,0.0087
绘,0.0087
瓦,0.0087
龄,0.0087
池,0.0087
沟,0.0087
呵,0.0087
伍,0.0087
氢,0.0087
拥,0.0086
乘,0.0086
吉,0.0086
尺,0.0086
朱,0.0086
蒸,0.0086
舍,0.0086
贡,0.0086
糊,0.0086
梁,0.0086
漫,0.0086
腾,0.0086
症,0.0085
丈,0.0085
钻,0.0085
磨,0.0085
井,0.0085
艰,0.0085
键,0.0085
绕,0.0085
幕,0.0085
斤,0.0084
污,0.0084
贝,0.0084
冒,0.0084
阔,0.0084
胆,0.0084
渡,0.0084
碍,0.0084
崇,0.0084
愈,0.0084
岩,0.0083
玻,0.0083
碎,0.0083
宪,0.0083
俄,0.0083
障,0.0083
融,0.0083
贸,0.0082
耐,0.0082
届,0.0082
寄,0.0082
荡,0.0082
币,0.0082
俩,0.0082
卵,0.0082
弃,0.0082
悄,0.0082
偶,0.0082
纵,0.0082
陷,0.0082
坡,0.0082
勤,0.0081
享,0.0081
塑,0.0081
膜,0.0081
铜,0.0081
拖,0.008
暖,0.008
稍,0.008
摩,0.008
硫,0.008
哩,0.008
乌,0.008
循,0.008
妙,0.008
疾,0.008
肩,0.0079
炎,0.0079
偷,0.0079
赤,0.0079
灾,0.0079
恒,0.0079
孤,0.0079
仁,0.0079
腔,0.0079
杯,0.0079
乃,0.0079
稀,0.0079
恢,0.0079
违,0.0078
伊,0.0078
挺,0.0078
乙,0.0078
拜,0.0078
焦,0.0077
锋,0.0077
铺,0.0077
颗,0.0077
滑,0.0077
敏,0.0077
洁,0.0077
嘛,0.0076
凝,0.0076
凉,0.0076
杜,0.0076
凭,0.0076
勒,0.0076
爆,0.0076
递,0.0076
鞋,0.0076
迁,0.0076
秦,0.0076
桂,0.0076
璃,0.0076
摄,0.0075
叹,0.0075
峰,0.0075
牧,0.0075
恨,0.0075
糖,0.0075
骂,0.0075
贴,0.0075
紫,0.0075
壤,0.0074
辛,0.0074
仰,0.0074
腐,0.0074
割,0.0074
辈,0.0074
君,0.0074
泡,0.0074
郭,0.0074
呆,0.0073
番,0.0073
励,0.0073
乳,0.0073
亿,0.0073
兼,0.0073
昨,0.0073
刊,0.0072
擦,0.0072
迟,0.0072
拔,0.0072
丹,0.0071
彼,0.0071
搬,0.0071
眉,0.0071
滴,0.0071
朵,0.0071
畜,0.0071
遵,0.0071
逻,0.0071
患,0.0071
奥,0.0071
耕,0.0071
忠,0.0071
鉴,0.007
挤,0.007
滚,0.007
壳,0.007
厅,0.007
旦,0.007
炸,0.007
塔,0.007
频,0.007
弯,0.007
狂,0.0069
陶,0.0069
晓,0.0069
柳,0.0069
炉,0.0069
宏,0.0069
愤,0.0069
瞧,0.0069
箱,0.0068
扑,0.0068
暂,0.0068
盆,0.0068
瓶,0.0068
柱,0.0068
辉,0.0068
雅,0.0068
衰,0.0068
洛,0.0068
朗,0.0067
琴,0.0067
腹,0.0067
牲,0.0067
黎,0.0067
肃,0.0066
雾,0.0066
冠,0.0066
伪,0.0066
幻,0.0066
仔,0.0066
杰,0.0066
烦,0.0066
悟,0.0066
荷,0.0066
晨,0.0066
甘,0.0066
饱,0.0065
飘,0.0065
芳,0.0065
肌,0.0065
舒,0.0065
惜,0.0065
丧,0.0065
肚,0.0065
灌,0.0064
抑,0.0064
鸣,0.0064
辞,0.0064
宙,0.0064
邻,0.0064
昌,0.0063
扫,0.0063
赖,0.0063
泉,0.0063
肠,0.0063
鼠,0.0063
援,0.0063
墨,0.0063
啥,0.0063
祥,0.0063
储,0.0062
萨,0.0062
裁,0.0062
奉,0.0062
傅,0.0062
姿,0.0062
埋,0.0062
亩,0.0062
犹,0.0062
瓜,0.0061
咬,0.0061
粘,0.0061
芽,0.0061
吐,0.0061
昆,0.0061
估,0.0061
租,0.0061
碗,0.0061
轨,0.0061
稻,0.0061
